term,home_ownership,purpose,verification_status,loan_status,loan_amnt,funded_amnt,funded_amnt_inv,annual_inc,int_rate,installment,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_amnt,repay_fail
36 months,MORTGAGE,major_purchase,Source Verified,Fully Paid,3500,3500,3500,37980,6.03,106.53,4.96,0,0,6,0,10491,11,3834.860738,3834.86,3500,334.86,2.46,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Charged Off,11000,11000,725.0059607,52500,12.99,370.59,17.94,0,2,14,0,17771,20,3704.86,243.7,2640.53,1064.33,370.59,1
60 months,MORTGAGE,credit_card,Not Verified,Charged Off,8125,8125,8125,50000,13.35,186.33,6.02,0,1,12,0,32638,36,5586.9,5586.9,3392.69,2194.21,186.33,1
60 months,RENT,car,Source Verified,Fully Paid,9000,9000,9000,69600,15.21,215.11,4.88,0,0,3,0,0,8,10393.50938,10393.51,9000,1378.51,7802.36,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,3000,3000,3000,71000,10.65,97.72,13.62,0,0,6,0,12282,11,3026.90125,3026.9,3000,26.9,3027.36,0
36 months,RENT,debt_consolidation,Not Verified,Charged Off,14500,14500,14325,43200,13.85,494.51,23.72,0,1,12,0,11904,19,11373.48,11236.19,8548.89,2807.13,494.51,1
36 months,RENT,credit_card,Not Verified,Fully Paid,12000,12000,12000,60000,7.49,373.22,8.64,0,0,5,0,10328,14,13422.06754,13422.07,12000,1422.07,1509.5,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Does not meet the credit policy. Status:Fully Paid,8000,8000,6150,92500,16.08,281.58,21.91,0,3,19,1,13446,30,10176.11265,7822.89,8000,2161.11,331.62,0
36 months,RENT,small_business,Source Verified,Fully Paid,4800,4800,4725,90000,9.62,154.03,3.45,0,0,6,1,5124,9,5429.391267,5344.56,4800,629.39,162.72,0
60 months,RENT,debt_consolidation,Verified,Charged Off,35000,35000,30699.40789,69000,16.49,860.28,12.3,0,2,4,0,12028,22,12989.3,3988.68,6265.85,6627.76,860.28,1
36 months,OWN,debt_consolidation,Source Verified,Fully Paid,1200,1200,1200,30000,16.69,42.6,11,0,0,4,0,5766,7,1549.249386,1549.25,1200,334.25,47.91,0
36 months,OWN,moving,Not Verified,Fully Paid,10000,10000,10000,38000,10.99,327.34,0.25,0,0,2,0,252,5,11784.23223,11784.23,10000,1784.23,366.23,0
36 months,MORTGAGE,home_improvement,Not Verified,Fully Paid,13000,13000,12312.76918,37000,10.36,421.68,19.65,0,1,6,0,4953,24,15180.49495,14256.05,13000,2180.5,426.25,0
60 months,RENT,house,Verified,Fully Paid,21000,13225,13000,100200,9.62,278.53,0.32,0,3,7,0,1585,19,13937.71155,13700.59,13225,712.71,12274.73,0
36 months,RENT,moving,Verified,Fully Paid,2500,2500,2500,45000,14.35,85.87,22.64,0,0,9,0,12301,26,3076.616229,3076.62,2500,576.62,512.41,0
36 months,MORTGAGE,home_improvement,Not Verified,Fully Paid,2400,2400,2400,62400,7.49,74.65,18.6,0,0,5,0,6696,24,2687.154691,2687.15,2400,287.15,89.6,0
60 months,OWN,credit_card,Not Verified,Fully Paid,9000,9000,9000,43000,10.37,192.87,17.55,0,2,12,0,1035,41,11330.29785,11330.3,9000,2330.3,3253.02,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,5000,5000,3626.07,65000,11.89,165.82,1.62,1,0,3,0,3005,14,5969.516682,4228.58,5000,969.52,177.23,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,7000,7000,7000,30000,13.35,237.04,24.76,1,0,9,0,11901,29,7921.720506,7921.72,7000,921.72,4847.36,0
60 months,RENT,debt_consolidation,Source Verified,Fully Paid,19000,11475,11124.0535,72000,8.88,237.54,18.18,0,4,7,0,8366,17,13542.93203,13059.1,11475,2067.93,6435.37,0
36 months,RENT,credit_card,Not Verified,Fully Paid,5050,5050,5000,27600,10.99,165.32,21.52,1,1,11,0,8301,25,5951.588636,5892.66,5050,901.59,184.21,0
36 months,RENT,debt_consolidation,Not Verified,Charged Off,10000,10000,10000,30000,13.49,339.31,20.96,0,0,10,0,2780,11,4749.77,4749.77,3411.93,1328.05,339.31,1
36 months,OWN,small_business,Source Verified,Fully Paid,2500,2500,2500,40000,14.27,85.78,15.84,0,1,7,1,6048,24,3043.963383,3043.96,2500,543.96,822.64,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,15000,15000,10859.54952,113000,15.68,525.03,13.12,0,0,29,0,50910,65,18900.90131,13314.63,14999.99,3900.91,537,0
60 months,MORTGAGE,debt_consolidation,Verified,Charged Off,35000,24850,24700,72000,19.69,654.1,13.72,0,3,11,0,20197,32,9727.16,9668.43,3528.57,4952.89,654.1,1
60 months,MORTGAGE,debt_consolidation,Source Verified,Charged Off,3200,3200,3200,70000,9.63,67.41,19.7,0,0,10,0,14095,35,2784.93,2784.93,1611.05,662.87,67.41,1
36 months,MORTGAGE,debt_consolidation,Verified,Charged Off,23000,23000,23000,98000,6.17,701.48,20.85,0,0,20,0,12575,38,16834.78,16834.78,14844.33,1976.79,701.48,1
36 months,OWN,debt_consolidation,Not Verified,Fully Paid,13200,13200,12900,125000,11.14,433.01,7.62,0,0,13,0,1847,40,15479.78186,15127.96,13200,2279.78,3357.84,0
60 months,MORTGAGE,debt_consolidation,Verified,Charged Off,20000,20000,19854.95772,70000,12.68,451.8,16.13,0,3,6,0,25129,36,8731.4,8460.32,2513.25,1988.55,451.8,1
36 months,RENT,credit_card,Source Verified,Fully Paid,10000,10000,9950,30000,13.98,341.68,23.88,0,0,11,0,14636,21,11794.94592,11735.97,10000,1794.95,5310.52,0
36 months,MORTGAGE,home_improvement,Not Verified,Fully Paid,10000,10000,9000,56000,7.14,309.4,4.84,0,0,8,0,4502,28,11139.07372,10025.17,10000,1139.07,328.39,0
36 months,OWN,debt_consolidation,Not Verified,Fully Paid,3600,3600,3600,50000,7.49,111.97,15.94,0,1,12,0,489,19,3733.034422,3733.03,3600,133.03,2517.14,0
60 months,MORTGAGE,other,Verified,Charged Off,17625,17625,17625,4.00E+05,23.91,506.12,16.08,0,0,27,0,49238,60,20896.16,20896.16,8674.89,10541.99,506.12,1
36 months,RENT,major_purchase,Source Verified,Fully Paid,20000,20000,19478.12678,60000,14.84,691.75,12.3,1,1,7,0,1249,15,24895.16302,24160.25,19999.99,4895.18,1400.24,0
36 months,RENT,credit_card,Not Verified,Fully Paid,8000,8000,8000,86400,13.49,271.45,14.08,0,0,9,0,9306,23,9055.156079,9055.16,8000,1055.16,3769.52,0
36 months,RENT,credit_card,Source Verified,Fully Paid,16000,16000,15925,74000,14.84,553.4,14.63,0,0,8,0,18798,12,19627.59075,19535.59,16000,3627.59,5272.34,0
60 months,MORTGAGE,debt_consolidation,Verified,Current,30500,30500,30372.12183,125000,14.27,713.96,17.2,0,0,8,0,33644,29,38525.91,38362.2,26368.07,12157.84,713.96,0
36 months,RENT,moving,Not Verified,Charged Off,2000,2000,1861.08,24000,7.75,62.45,2.4,0,1,5,0,949,8,1111.46,1041.37,886.3,174.5,62.45,1
36 months,MORTGAGE,credit_card,Not Verified,Fully Paid,13500,13500,13498.09461,47400,6.17,411.74,21.39,0,0,15,0,13997,38,14466.3834,14464.1,13500,966.38,227.24,0
36 months,MORTGAGE,credit_card,Not Verified,Charged Off,18000,18000,15821.07028,62000,10.25,582.93,6.85,0,4,11,0,8793,45,11425.28,10049.66,8926.4,2498.88,350.1,1
36 months,MORTGAGE,home_improvement,Source Verified,Fully Paid,20000,20000,8167.548335,120000,11.14,656.11,2.82,1,1,9,0,13417,18,23619.64215,8908.42,20000,3619.65,656.91,0
36 months,RENT,small_business,Not Verified,Fully Paid,12000,12000,7196.744757,40000,11.58,396.17,11.07,1,0,7,0,17495,22,14261.74714,8048.87,12000,2261.75,401.84,0
36 months,MORTGAGE,small_business,Source Verified,Fully Paid,4650,4650,4650,85000,13.49,157.78,17.18,0,1,14,0,16564,34,5696.664483,5696.66,4650,1031.66,172.57,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,17600,17600,17549.22219,65500,10.74,574.04,19.51,0,0,16,0,26921,27,20002.80431,19941.79,17600,2402.8,9117.6,0
60 months,MORTGAGE,wedding,Verified,Does not meet the credit policy. Status:Fully Paid,14000,14000,13975,38000,16.82,346.59,6.46,0,6,18,0,0,32,14459.93735,14434.12,14000,459.94,2666.04,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,9600,9600,9600,60000,14.65,331.15,8.24,0,1,13,0,6725,28,11921.19,11921.19,9600,2321.19,5.22,0
36 months,RENT,credit_card,Not Verified,Fully Paid,8400,8400,8400,45000,13.11,283.46,15.15,0,0,8,0,6513,23,9654.220784,9654.22,8400,1254.22,777.55,0
36 months,MORTGAGE,home_improvement,Verified,Fully Paid,7200,7200,6506.620767,83000,18.53,262.21,4.41,0,0,3,0,12513,28,9439.651282,8451.09,7200,2239.65,266.95,0
60 months,RENT,debt_consolidation,Verified,Fully Paid,12000,12000,11750,43000,17.27,299.98,23.33,0,0,6,0,6177,12,17247.27998,16887.96,12000,5247.28,5567.03,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,4800,4800,4800,40000,12.68,161,4.17,1,0,11,0,2857,14,5795.657358,5795.66,4800,995.66,183.43,0
60 months,OWN,major_purchase,Not Verified,Fully Paid,10000,10000,10000,65000,17.14,249.28,4.67,2,1,17,0,7206,22,14878.7781,14878.78,10000,4878.78,140.29,0
36 months,MORTGAGE,debt_consolidation,Verified,Does not meet the credit policy. Status:Fully Paid,25000,25000,24975,102000,12.53,836.66,23.74,0,2,21,0,203460,41,30043.074,30013.03,24999.99,5043.09,788.28,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,13000,13000,13000,52680,6.92,400.93,18.02,0,0,10,0,5997,25,14431.53357,14431.53,13000,1431.53,811.84,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,6000,6000,6000,145000,13.8,204.49,20.76,0,1,11,0,59512,24,7361.349147,7361.35,6000,1361.35,214.97,0
36 months,RENT,debt_consolidation,Not Verified,Charged Off,13000,13000,12994.46479,50000,9.91,418.93,17.3,0,1,13,0,18246,25,14358.94,14351.74,12158.68,2068.04,418.93,1
36 months,RENT,moving,Verified,Fully Paid,5700,5700,5700,35000,12.99,192.03,16.46,1,0,12,0,3487,26,6912.995709,6913,5700,1213,203.12,0
60 months,MORTGAGE,credit_card,Source Verified,Fully Paid,13000,13000,13000,32000,9.99,276.15,19.73,0,0,9,0,15240,30,16568.81576,16568.82,13000,3568.82,275.96,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,12000,12000,12000,92000,6.62,368.45,7.88,0,0,12,0,24771,32,13263.95464,13263.95,12000,1263.95,374.16,0
36 months,RENT,debt_consolidation,Verified,Charged Off,10000,10000,10000,75000,17.14,357.23,10.48,0,1,8,0,12445,13,4886.76,4886.76,3033.37,1602.04,357.23,1
60 months,MORTGAGE,debt_consolidation,Not Verified,Does not meet the credit policy. Status:Fully Paid,8000,8000,8000,33600,13.72,184.99,3.64,1,4,6,0,454,31,9024.276339,9024.28,8000,1024.28,7001.22,0
36 months,RENT,wedding,Not Verified,Fully Paid,8000,8000,7975,36000,15.33,278.63,8.47,0,2,7,0,5618,9,9756.720956,9726.23,8000,1756.72,2875.45,0
36 months,MORTGAGE,vacation,Not Verified,Fully Paid,2000,2000,2000,93000,15.23,69.56,21.24,0,2,13,1,25016,27,2405.727953,2405.73,2000,405.73,1022.93,0
36 months,MORTGAGE,other,Not Verified,Does not meet the credit policy. Status:Charged Off,7900,7900,1600.001368,48000,14.18,270.7,15.1,1,0,8,0,5192,24,7694.71,1557.77,5844.09,1733.83,270.7,1
36 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,10000,10000,10000,60000,12.69,335.45,18.3,0,2,11,0,10322,19,12076.13,12076.13,10000,2076.13,356.45,0
36 months,MORTGAGE,car,Not Verified,Fully Paid,4000,4000,4000,51000,6.03,121.75,17.53,0,0,7,0,51992,15,4382.690262,4382.69,4000,382.69,123.94,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,15000,15000,15000,102000,14.22,514.27,9.64,1,1,6,0,916,37,18514.51048,18514.51,15000,3514.51,553.84,0
60 months,MORTGAGE,credit_card,Verified,Charged Off,20000,20000,19975,94000,16.02,486.58,15.34,0,0,12,0,29472,28,10119.05,10106.5,4688.28,4554.75,51.56,1
60 months,OWN,wedding,Not Verified,Fully Paid,15600,15600,15525,52000,15.96,379.04,10.22,0,2,8,0,41017,28,19672.17041,19577.59,15600,4072.17,2980.35,0
36 months,RENT,credit_card,Source Verified,Fully Paid,6500,6500,6450,36000,12.61,217.8,11.7,2,1,10,0,6793,21,7818.612229,7758.47,6500,1318.61,1082.28,0
36 months,RENT,other,Verified,Fully Paid,5600,5600,5575,62000,9.99,180.67,24.27,0,0,15,1,11243,35,6504.107122,6475.07,5599.99,904.12,196.85,0
36 months,MORTGAGE,credit_card,Not Verified,Fully Paid,6000,6000,5975.060719,30000,15.31,208.9,8.76,0,3,7,0,5531,7,7521.22088,7486.42,6000,1521.22,213.22,0
60 months,RENT,debt_consolidation,Verified,Charged Off,10800,10800,10800,50000,16.4,264.94,16.08,0,2,12,1,7886,21,13021.04,13021.04,7648.29,4775.33,264.94,1
60 months,RENT,debt_consolidation,Source Verified,Fully Paid,25000,25000,25000,50004,21.36,681.41,17.13,1,1,8,0,8530,29,35889.19004,35889.19,25000.01,10889.18,16817.06,0
60 months,RENT,debt_consolidation,Verified,Fully Paid,3100,3100,3094.073693,32280,15.21,74.1,21.2,5,1,14,0,7289,40,4435.029999,4422.55,3100,1335.03,444.61,0
36 months,MORTGAGE,car,Source Verified,Fully Paid,5000,5000,5000,48000,6.99,154.37,0.63,0,2,5,0,0,22,5557.025543,5557.03,5000,557.03,161.73,0
36 months,MORTGAGE,educational,Not Verified,Fully Paid,6000,6000,5750,41000,9.32,191.69,17.5,0,0,11,0,19391,25,6900.429918,6612.91,6000,900.43,219.69,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,7000,7000,7000,24000,10.75,228.35,23.5,0,1,3,0,3271,9,8165.338743,8165.34,7000,1165.34,1783.52,0
36 months,RENT,vacation,Not Verified,Fully Paid,1000,1000,1000,64000,10.75,32.63,8.51,0,0,7,0,4338,17,1174.0299,1174.03,1000,174.03,67.42,0
36 months,MORTGAGE,small_business,Not Verified,Fully Paid,25000,25000,24725,80000,15.31,870.39,0.81,0,1,5,0,3656,20,25632.75061,25350.77,25000,632.75,24762.84,0
60 months,RENT,debt_consolidation,Verified,Fully Paid,21600,21600,21575,77658,13.8,500.36,15.36,1,1,8,0,1123,19,29796.70272,29762.22,21600,8196.7,1180.86,0
60 months,MORTGAGE,other,Verified,Fully Paid,30000,30000,29950,315000,17.99,761.64,3.39,0,1,17,0,29113,39,44219.04993,44145.35,30000,14219.05,12258.57,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,15000,15000,14975,56000,8.49,473.45,24.3,0,1,19,0,40442,42,17043.93699,17015.53,15000,2043.94,522.51,0
36 months,MORTGAGE,other,Not Verified,Fully Paid,4225,4225,4225,55200,12.42,141.18,17.61,0,1,6,0,4055,12,5082.460001,5082.46,4225,857.46,146.48,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,18000,18000,18000,52000,14.65,620.9,21.37,0,1,14,0,20846,27,22278.20511,22278.21,18000,4278.21,3043.46,0
60 months,RENT,credit_card,Verified,Fully Paid,21000,21000,21000,75000,11.71,464.07,8.88,0,0,6,0,12076,21,25569.94268,25569.94,21000,4569.94,10161.21,0
36 months,RENT,debt_consolidation,Not Verified,Charged Off,7550,7550,7550,20400,14.79,260.95,13.47,0,2,4,0,3931,17,8266.11,8266.11,6275.1,1792.02,260.95,1
60 months,RENT,car,Not Verified,Fully Paid,2000,2000,2000,36000,13.06,45.57,21.1,0,3,4,0,659,16,2689.97,2689.97,2000,689.97,649.05,0
36 months,RENT,medical,Source Verified,Charged Off,1300,1300,1300,70000,13.49,44.11,1.95,0,0,4,0,1870,15,803.38,803.38,442.6,172.28,44.11,1
36 months,OWN,home_improvement,Not Verified,Fully Paid,10000,10000,9950,81000,15.31,348.16,6.59,0,2,7,0,4082,14,11601.57964,11543.56,10000,1601.58,6729.99,0
36 months,RENT,major_purchase,Not Verified,Fully Paid,10000,10000,10000,30000,19.29,368.03,16.36,0,0,5,0,4914,6,13248.9877,13248.99,10000,3248.99,368.64,0
36 months,MORTGAGE,home_improvement,Not Verified,Fully Paid,9000,9000,9000,52260,7.51,280,13.09,0,1,5,0,109,10,9694.24145,9694.24,9000,694.24,5791.46,0
36 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,6075,6075,6075,28800,8.49,191.75,28.75,0,0,23,0,11693,39,6573.769858,6573.77,6075,498.77,561.95,0
36 months,MORTGAGE,home_improvement,Source Verified,Fully Paid,10000,10000,9950,66996,9.62,320.9,6.93,1,1,5,0,58462,14,10712.94535,10659.38,10000,712.95,7832.34,0
36 months,MORTGAGE,renewable_energy,Source Verified,Fully Paid,14400,14400,14400,117600,12.99,485.13,16.33,0,2,14,0,13180,35,17464.39799,17464.4,14400,3064.4,503,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,11200,11200,11200,62000,7.88,350.34,22.49,0,0,10,0,16472,25,12564.71546,12564.72,11200,1364.72,2416.38,0
36 months,RENT,credit_card,Source Verified,Fully Paid,3900,3900,3900,30000,11.99,129.52,2.4,0,2,8,0,2687,15,4215.88,4215.88,3900,315.88,581.33,0
36 months,MORTGAGE,major_purchase,Not Verified,Fully Paid,7000,7000,7000,57738,7.14,216.59,11.51,0,1,11,0,1027,29,7198.117822,7198.12,7000,198.12,6335.36,0
36 months,RENT,other,Not Verified,Does not meet the credit policy. Status:Fully Paid,1500,1500,25,28000,11.86,49.72,14.31,1,1,1,0,0,2,1805.012433,30.08,1500,290.01,1.3,0
36 months,RENT,other,Not Verified,Fully Paid,2500,2500,2500,120000,14.22,85.72,9.44,1,0,5,0,8259,7,3085.657321,3085.66,2500,585.66,94.06,0
36 months,MORTGAGE,other,Source Verified,Fully Paid,5000,5000,5000,56000,5.42,150.8,5.46,0,0,7,0,9463,18,5428.767193,5428.77,5000,428.77,161.49,0
60 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,15000,15000,14950,60000,15.58,361.44,19.74,0,0,12,0,13612,26,19535.6814,19470.56,15000,4535.68,9791.47,0
60 months,MORTGAGE,credit_card,Verified,Current,35000,35000,34425,100500,11.71,773.44,19.9,0,0,13,0,74154,33,41744.96,41059.24,30500.96,11244,773.44,0
60 months,OWN,other,Verified,Fully Paid,22000,14200,14200,114000,17.19,354.36,14.04,0,1,14,0,46216,22,16839.31316,16839.31,14200,2639.31,12239.67,0
60 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,8000,8000,8000,36000,18.39,204.85,21.9,3,1,6,0,6965,20,11190.98876,11190.99,8000,3190.99,4842.17,0
36 months,RENT,medical,Not Verified,Fully Paid,2000,2000,2000,45000,11.12,65.6,16.93,0,1,11,0,8993,25,2361.452342,2361.45,2000,361.45,65.5,0
60 months,RENT,debt_consolidation,Not Verified,Fully Paid,9000,9000,9000,67596,17.49,226.06,13.7,0,2,15,1,5585,28,13436.00001,13436,9000,4436,2151.97,0
60 months,RENT,debt_consolidation,Verified,Fully Paid,24250,24250,24205.4925,101004,13.23,554.63,21.21,0,0,9,0,39107,17,33302.82995,33222.89,24250,9027.4,579.03,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,10000,10000,9752.682473,70000,10.75,326.21,21.12,0,2,10,0,35418,38,11588.22697,11298.21,10000,1588.23,3455.94,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,8000,8000,7475,53000,12.23,266.6,2.08,0,2,4,0,1195,7,8907.237694,8322.7,8000,907.24,13.82,0
60 months,OWN,home_improvement,Verified,Fully Paid,19800,19800,19800,170000,21.67,543.15,1.61,0,2,9,0,2121,21,32370.85007,32370.85,19800,12570.85,4127.05,0
60 months,OWN,home_improvement,Verified,Fully Paid,20000,15075,14804.13619,53604,11.86,334.27,1.21,0,1,6,0,1267,25,19944.12001,19568.89,15075,4869.12,253.17,0
36 months,OWN,debt_consolidation,Not Verified,Fully Paid,11200,11200,11070.99023,51300,15.31,389.94,3.16,0,0,3,0,4138,29,12898.01443,12747.97,11200,1698.01,7832.07,0
36 months,MORTGAGE,home_improvement,Not Verified,Fully Paid,11000,11000,11000,39500,7.14,340.36,11.61,0,1,11,0,3086,24,11065.6,11065.6,11000,65.6,11066.08,0
36 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,5300,5300,5300,74603,19.91,196.73,14.7,0,1,22,0,28211,30,6913.999235,6914,5300,1614,2002.91,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,1800,1800,1800,12000,14.35,61.83,12.2,0,0,7,0,733,11,2225.955639,2225.96,1800,425.96,70.26,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,12000,12000,9992.273165,55000,15.37,418.16,8.51,0,1,5,0,7494,14,14975.60406,12171.39,12000,2975.6,2438.03,0
36 months,RENT,credit_card,Not Verified,Fully Paid,20000,20000,3485.56,150000,10.08,646.1,6.86,0,2,8,0,84,10,23259.40903,3715.18,20000,3259.41,648.46,0
60 months,MORTGAGE,debt_consolidation,Verified,Charged Off,25000,25000,24842.45559,118000,17.06,622.13,14.97,0,1,10,0,35216,24,29810.12,29468.02,17111.39,11462.9,1275.37,1
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,8000,8000,8000,42000,12.69,268.36,23.71,1,3,18,0,11424,29,9660.901021,9660.9,8000,1660.9,282.98,0
36 months,RENT,credit_card,Not Verified,Fully Paid,6000,6000,6000,36000,10.75,195.73,4.03,0,0,2,0,5216,15,6370.347873,6370.35,6000,370.35,3314.19,0
36 months,RENT,credit_card,Not Verified,Fully Paid,9000,9000,9000,62000,13.99,307.56,14.28,0,1,6,0,8906,13,10952.5427,10952.54,9000,1952.54,335.54,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,7000,7000,4404.71,90000,13.16,236.4,5.83,0,0,6,0,8091,18,8317.781337,4906.61,7000,1317.78,2886.32,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,15000,15000,11825,190000,9.63,481.42,9.64,0,1,11,0,12228,37,17195.42964,13555.73,15000,2195.43,4220.71,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,31825,31825,31825,75000,7.9,995.82,14.03,0,0,12,0,23151,26,34886.91378,34886.91,31825,3061.91,16966.7,0
36 months,RENT,major_purchase,Not Verified,Fully Paid,9000,9000,9000,60000,12.68,301.87,21.46,0,1,11,0,16442,25,10866.90569,10866.91,9000.01,1866.9,329.3,0
36 months,MORTGAGE,house,Verified,Fully Paid,8000,8000,7950,115000,8.94,254.18,2.7,0,4,8,0,5914,27,9131.487345,9074.42,8000,1131.49,1274.78,0
36 months,RENT,other,Source Verified,Charged Off,1500,1500,1500,17000,18.64,54.72,4.59,0,3,10,0,1497,15,560.69,560.69,300.67,191.27,54.72,1
36 months,RENT,credit_card,Verified,Fully Paid,8500,8500,8250,74000,11.71,281.15,14.42,0,0,8,0,6402,23,10121.21768,9823.53,8500,1621.22,297.86,0
36 months,MORTGAGE,credit_card,Verified,Fully Paid,25000,25000,24920.47586,123917.64,15.31,870.39,16.65,0,0,9,0,40413,17,31334.55301,31228.37,25000,6334.55,879.27,0
60 months,RENT,debt_consolidation,Verified,Fully Paid,24500,24500,24175,71004,13.23,560.34,9.48,0,2,8,0,28006,30,32832.95626,32397.42,24500,8332.96,8757.57,0
60 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,35000,35000,34344.9258,135000,19.29,913.52,19.46,0,0,9,0,19731,28,50965.30892,49644.87,35000,15965.31,19001.5,0
60 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,5000,5000,5000,40000,11.12,109.02,14.58,0,2,17,0,7497,30,6540.528306,6540.53,5000,1540.53,113.33,0
36 months,MORTGAGE,credit_card,Verified,Fully Paid,6800,6800,6800,130000,8.49,214.63,11.3,0,5,15,0,6502,37,7363.241914,7363.24,6800,563.24,4588.94,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,3450,3450,3450,45000,11.99,114.58,5.23,0,2,5,0,3387,11,4124.573842,4124.57,3450,674.57,115.28,0
36 months,MORTGAGE,small_business,Not Verified,Fully Paid,1000,1000,1000,20500,6.76,30.77,9.48,0,0,7,0,4356,27,1107.649903,1107.65,1000,107.65,32,0
36 months,MORTGAGE,credit_card,Verified,Fully Paid,12500,12500,7025,72000,11.89,414.55,0.25,0,2,9,0,193,16,12978.24676,7293.79,12500,478.25,11739.23,0
36 months,RENT,major_purchase,Verified,Fully Paid,9600,9600,8426.073918,90000,14.11,328.6,12.72,2,0,15,0,11265,29,11829.46094,10231.2,9600,2229.46,343.1,0
36 months,RENT,other,Not Verified,Fully Paid,3200,3200,3175,57504,7.68,99.81,9.24,0,1,14,0,3176,35,3586.8481,3558.83,3200,386.85,511.14,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,5000,5000,5000,80000,7.29,155.05,20.34,1,0,13,0,15060,33,5549.022305,5549.02,5000,549.02,1372.4,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,9000,9000,9000,73000,11.86,298.33,9.55,1,0,14,0,7550,31,10740.59419,10740.59,9000,1740.59,322.82,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,7400,7400,7400,57996,10.36,240.03,8.98,0,1,10,0,8248,14,8641.509133,8641.51,7400,1241.51,247.54,0
60 months,MORTGAGE,wedding,Not Verified,Fully Paid,4000,4000,4000,36000,9.63,84.27,2.43,0,0,13,0,2407,24,4780.333058,4780.33,4000,780.33,245.94,0
36 months,MORTGAGE,renewable_energy,Not Verified,Fully Paid,15000,15000,14975,108600,12.18,499.5,12.25,0,1,7,0,24573,25,15153.17,15127.91,15000,153.17,15154,0
60 months,MORTGAGE,debt_consolidation,Not Verified,Charged Off,9600,9600,9600,60000,12.61,216.52,2.56,0,0,3,0,4756,11,1939.86,1939.86,1080.68,859.18,216.52,1
60 months,MORTGAGE,other,Verified,Fully Paid,12000,12000,12000,1.00E+05,13.49,276.06,9.3,0,0,12,0,15578,23,16083.62998,16083.63,12000,4083.63,4783.64,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,6000,6000,6000,44000,12.69,201.27,16.72,0,1,12,0,8374,18,7245.675769,7245.68,6000,1245.68,221.22,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,6000,6000,6000,49000,15.27,208.79,23.29,0,1,12,0,21477,18,6076.55,6076.55,6000,76.55,6077.06,0
36 months,OWN,small_business,Source Verified,Fully Paid,7000,7000,7000,68000,7.29,217.07,12.9,0,0,4,0,5743,11,7814.481311,7814.48,7000,814.48,242.51,0
36 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,8000,8000,8000,144000,14.72,276.23,4.33,1,0,10,0,10824,24,8673.347901,8673.35,8000,673.35,2743.65,0
36 months,RENT,other,Verified,Fully Paid,20000,20000,20000,60000,14.84,691.75,22.98,1,1,9,0,6274,24,24911.3428,24911.34,20000,4911.35,714.25,0
36 months,RENT,credit_card,Source Verified,Fully Paid,6000,6000,5475,60000,10.36,194.62,19.44,0,0,6,0,22420,16,6947.964846,6340.02,6000,947.96,1697.3,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,5000,5000,5000,35000,16.45,176.9,16.9,0,1,4,1,3995,7,5149.36991,5149.37,5000,149.37,974.13,0
